STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2014,46.2,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2015,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2016,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2017,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2018,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2019,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2020,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2021,,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,BG,2022,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,1999,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2000,33.3,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2001,19.0,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2002,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2003,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2004,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2005,,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2006,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2007,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2008,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2009,,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2010,26.8,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2011,37.5,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2012,40.0,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2013,48.1,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2014,43.4,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2015,45.4,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2016,49.5,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2017,44.0,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2018,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2019,29.4,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2020,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2021,34.3,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CY,2022,30.2,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,1999,31.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2000,32.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2001,38.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2002,43.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2003,46.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2004,38.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2005,42.0,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2006,39.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2007,29.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2008,28.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2009,36.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2010,40.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2011,44.6,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2012,43.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2013,47.6,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2014,38.5,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2015,32.7,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2016,26.8,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2017,23.6,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2018,16.7,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2019,15.4,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2020,21.8,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2021,20.9,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,CZ,2022,22.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DE,1999,7.1,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DE,2000,8.3,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,DE,2001,6.2,
