CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
D1-3	From 1 to 3 days	De 1 à 3 jours	1 bis 3 Tage	Y	
D1-6	From 1 to 6 days	De 1 à 6 jours	1 bis 6 Tage	Y	
D1-7	From 1 to 7 days	De 1 à 7 jours	1 bis 7 Tage	Y	
D1-90	From 1 to 90 days	De 1 à 90 jours	1 bis 90 Tage	Y	
D2-3	From 2 to 3 days	De 2 à 3 jours	2 bis 3 Tage	Y	
D4-5	From 4 to 5 days	De 4 à 5 jours	4 bis 5 Tage	Y	
D4-6	From 4 to 6 days	De 4 à 6 jours	4 bis 6 Tage	Y	
D_GE4	4 days or over	4 jours ou plus	4 Tage und mehr	Y	
D4-M12	From 4 days to 12 months	De 4 jours à 12 mois	4 Tage bis 12 Monate	Y	
D6-9	From 6 to 9 days	De 6 à 9 jours	6 bis 9 Tage	Y	
D_LT7	Less than 7 days	Moins de 7 jours	Weniger als 7 Tage	Y	
D7-13	From 7 to 13 days	De 7 à 13 jours	7 bis 13 Tage	Y	
D7-27	From 7 to 27 days	De 7 à 27 jours	7 bis 27 Tage	Y	
D8-35	From 8 to 35 days	De 8 à 35 jours	8 bis 35 Tage	Y	
D10-19	From 10 to 19 days	De 10 à 19 jours	10 bis 19 Tage	Y	
D14-20	From 14 to 20 days	De 14 à 20 jours	14 bis 20 Tage	Y	
D14-29	From 14 to 29 days	De 14 à 29 jours	14 bis 29 Tage	Y	
D_GE14	14 days or over	14 jours ou plus	14 Tage und mehr	Y	
D_GE20	20 days or over	20 jours ou plus	20 Tage und mehr	Y	
D_GE21	21 days or over	21 jours ou plus	21 Tage und mehr	Y	
D21-29	From 21 to 29 days	De 21 à 29 jours	21 bis 29 Tage	Y	
D21-M1	From 21 days to 1 month	De 21 jours à 1 mois	21 Tage bis1 Monat	Y	
D_LT28	Less than 28 days	Moins de 28 jours	Weniger als 28 Tage	Y	
D28-364	From 28 days to less than 1 year	De 28 jours à moins de 1 an	28 Tage bis weniger als 1 Jahr	Y	
D_GT35	Over 35 days	Plus de 35 jours	Mehr als 35 Tage	Y	
D91-180	From 91 to 180 days	De 91 à 180 jours	91 bis 180 Tage	Y	
D91-M5	From 91 days to 5 months	De 91 jours à 5 mois	91 Tage bis 5 Monate	Y	
D91-M6	From 91 days to 6 months	De 91 jours à 6 mois	91 Tage bis 6 Monate	Y	
D181-360	From 181 to 360 days	De 181 à 360 jours	181 bis 360 Tage	Y	
D_GE183_PI	Permanent incapacity or 183 days or over	Incapacité permanente ou 183 jours ou plus	Dauerhaft unfähig oder 183 Tage und mehr	Y	
D_GE361	361 days or over	361 jours ou plus	361 Tage und mehr	Y	
W0-16	From 0 to 16 weeks	De 0 à 16 semaines	0 bis 16 Wochen	Y	
W0-20	From 0 to 20 weeks	De 0 à 20 semaines	0 bis 20 Wochen	Y	
W0-27	From 0 to 27 weeks	De 0 à 27 semaines	0 bis 27 Wochen	Y	
W_LE5	5 weeks or less	5 semaines ou moins	5 Wochen und weniger	Y	
W_GT5	Over 5 weeks	Plus de 5 semaines	Mehr als 5 Wochen	Y	
W17	17 weeks	17 semaines	17 Wochen	Y	
W18	18 weeks	18 semaines	18 Wochen	Y	
W19	19 weeks	19 semaines	19 Wochen	Y	
W20	20 weeks	20 semaines	20 Wochen	Y	
W21	21 weeks	21 semaines	21 Wochen	Y	
W22	22 weeks	22 semaines	22 Wochen	Y	
W23	23 weeks	23 semaines	23 Wochen	Y	
W24	24 weeks	24 semaines	24 Wochen	Y	
W25	25 weeks	25 semaines	25 Wochen	Y	
W26	26 weeks	26 semaines	26 Wochen	Y	
W27	27 weeks	27 semaines	27 Wochen	Y	
W28	28 weeks	28 semaines	28 Wochen	Y	
W28-31	From 28 to 31 weeks	De 28 à 31 semaines	28 bis 31 Wochen	Y	
W29	29 weeks	29 semaines	29 Wochen	Y	
W30	30 weeks	30 semaines	30 Wochen	Y	
W31	31 weeks	31 semaines	31 Wochen	Y	
W32	32 weeks	32 semaines	32 Wochen	Y	
W32-35	From 32 to 35 weeks	De 32 à 35 semaines	32 bis 35 Wochen	Y	
W33	33 weeks	33 semaines	33 Wochen	Y	
W34	34 weeks	34 semaines	34 Wochen	Y	
W35	35 weeks	35 semaines	35 Wochen	Y	
W36	36 weeks	36 semaines	36 Wochen	Y	
W36-39	From 36 to 39 weeks	De 36 à 39 semaines	36 bis 39 Wochen	Y	
W37	37 weeks	37 semaines	37 Wochen	Y	
W38	38 weeks	38 semaines	38 Wochen	Y	
W39	39 weeks	39 semaines	39 Wochen	Y	
W_GE40	40 weeks or over	40 semaines ou plus	40 Wochen und mehr	Y	
NST	Not started	Pas commencé	Nicht begonnen	Y	
IMM	Immediate	Immédiat	Unmittelbar	M	
M0	Zero months	Zéro mois	Null Monate	Y	
M0-2	From 0 to 2 months	De 0 à 2 mois	0 bis 2 Monate	Y	
M0-11	From 0 to 11 months	De 0 à 11 mois	0 bis 11 Monate	Y	
M_LT1	Less than 1 month	Moins de 1 mois	Weniger als 1 Monat	Y	
M1	1 month	1 mois	1 Monat	Y	
