CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
Y14	14 years	14 ans	14 Jahre	Y	
Y14-15	From 14 to 15 years	De 14 à 15 ans	14 bis 15 Jahre	Y	
Y14-17	From 14 to 17 years	De 14 à 17 ans	14 bis 17 Jahre	Y	
Y_LT15	Less than 15 years	Moins de 15 ans	Weniger als 15 Jahre	Y	
Y15	15 years	15 ans	15 Jahre	Y	
Y15-17	From 15 to 17 years	De 15 à 17 ans	14 bis 17 Jahre	Y	
Y15-19	From 15 to 19 years	De 15 à 19 ans	15 bis 19 Jahre	Y	
Y15-20	From 15 to 20 years	De 15 à 20 ans	15 bis 20 Jahre	Y	
Y15-24_Y65-74	From 15 to 24 years and 65 to 74 years	De 15 à 24 ans et 65 à 74 ans	15 bis 24 Jahre und 65 bis 74 Jahre	Y	
Y15-24	From 15 to 24 years	De 15 à 24 ans	15 bis 24 Jahre	Y	
Y15-29	From 15 to 29 years	De 15 à 29 ans	15 bis 29 Jahre	Y	
Y15-34	From 15 to 34 years	De 15 à 34 ans	15 bis 34 Jahre	Y	
Y15-39	From 15 to 39 years	De 15 à 39 ans	15 bis 39 Jahre	Y	
Y15-44	From 15 to 44 years	De 15 à 44 ans	15 bis 44 Jahre	Y	
Y15-59	From 15 to 59 years	De 15 à 59 ans	15 bis 59 Jahre	Y	
Y15-64	From 15 to 64 years	De 15 à 64 ans	15 bis 64 Jahre	Y	
Y15-69	From 15 to 69 years	De 15 à 69 ans	15 bis 69 Jahre	Y	
Y15-74	From 15 to 74 years	De 15 à 74 ans	15 bis 74 Jahre	Y	
Y15-89	From 15 to 89 years	De 15 à 89 ans	15 bis 89 Jahre	Y	
Y_GE15	15 years or over	15 ans ou plus	15 Jahre und mehr	Y	
Y_LT16	Less than 16 years	Moins de 16 ans	Weniger als 16 Jahre	Y	
Y16	16 years	16 ans	16 Jahre	Y	
Y16-17	From 16 to 17 years	De 16 à 17 ans	16 bis 17 Jahre	Y	
Y16-18	From 16 to 18 years	De 16 à 18 ans	16 bis 18 Jahre	Y	
Y16-19	From 16 to 19 years	De 16 à 19 ans	16 bis 19 Jahre	Y	
Y16-24	From 16 to 24 years	De 16 à 24 ans	16 bis 24 Jahre	Y	
Y16-29	From 16 to 29 years	De 16 à 29 ans	16 bis 29 Jahre	Y	
Y16-44	From 16 to 44 years	De 16 à 44 ans	16 bis 44 Jahre	Y	
Y16-64	From 16 to 64 years	De 16 à 64 ans	16 bis 64 Jahre	Y	
Y16-74	From 16 to 74 years	De 16 à 74 ans	16 bis 74 Jahre	Y	
Y_GE16	16 years or over	16 ans ou plus	16 Jahre und mehr	Y	
Y_LT17	Less than 17 years	Moins de 17 ans	Weniger als 17 Jahre	Y	
Y17	17 years	17 ans	17 Jahre	Y	
Y17-18	From 17 to 18 years	De 17 à 18 ans	17 bis 18 Jahre	Y	
Y_LT18	Less than 18 years	Moins de 18 ans	Weniger als 18 Jahre	Y	
Y18	18 years	18 ans	18 Jahre	Y	
Y18-19	From 18 to 19 years	De 18 à 19 ans	18 bis 19 Jahre	Y	
Y18-24	From 18 to 24 years	De 18 à 24 ans	18 bis 24 Jahre	Y	
Y18-29	From 18 to 29 years	De 18 à 29 ans	18 bis 29 Jahre	Y	
Y18-34	From 18 to 34 years	De 18 à 34 ans	18 bis 34 Jahre	Y	
Y18-44	From 18 to 44 years	De 18 à 44 ans	18 bis 44 Jahre	Y	
Y18-49	From 18 to 49 years	De 18 à 49 ans	18 bis 49 Jahre	Y	
Y18-54	From 18 to 54 years	De 18 à 54 ans	18 bis 54 Jahre	Y	
Y18-59	From 18 to 59 years	De 18 à 59 ans	18 bis 59 Jahre	Y	
Y18-64	From 18 to 64 years	De 18 à 64 ans	18 bis 64 Jahre	Y	
Y18-69	From 18 to 69 years	De 18 à 69 ans	18 bis 69 Jahre	Y	
Y18-74	From 18 to 74 years	De 18 à 74 ans	18 bis 74 Jahre	Y	
Y_GE18	18 years or over	18 ans ou plus	18 Jahre und mehr	Y	
Y_LE19	19 years or less	19 ans ou moins	19 Jahre und weniger	Y	
Y19	19 years	19 ans	19 Jahre	Y	
Y19-24	From 19 to 24 years	De 19 à 24 ans	19 bis 24 Jahre	Y	
Y_LT20	Less than 20 years	Moins de 20 ans	Weniger als 20 Jahre	Y	
Y20	20 years	20 ans	20 Jahre	Y	
Y20-24	From 20 to 24 years	De 20 à 24 ans	20 bis 24 Jahre	Y	
Y20-29	From 20 to 29 years	De 20 à 29 ans	20 bis 29 Jahre	Y	
Y20-34	From 20 to 34 years	De 20 à 34 ans	20 bis 34 Jahre	Y	
Y20-39	From 20 to 39 years	De 20 à 39 ans	20 bis 39 Jahre	Y	
Y20-49	From 20 to 49 years	De 20 à 49 ans	20 bis 49 Jahre	Y	
Y20-59	From 20 to 59 years	De 20 à 59 ans	20 bis 59 Jahre	Y	
Y20-64	From 20 to 64 years	De 20 à 64 ans	20 bis 64 Jahre	Y	
Y20-69	From 20 to 69 years	De 20 à 69 ans	20 bis 69 Jahre	Y	
Y20-74	From 20 to 74 years	De 20 à 74 ans	20 bis 74 Jahre	Y	
Y20-89	From 20 to 89 years	De 20 à 89 ans	20 bis 89 Jahre	Y	
Y_GE20	20 years or over	20 ans ou plus	20 Jahre und mehr	Y	
Y_GT20	Over 20 years	Plus de 20 ans	Mehr als 20 Jahre	Y	
Y21	21 years	21 ans	21 Jahre	Y	
Y_GE21	21 years or over	21 ans ou plus	21 Jahre und mehr	Y	
Y22	22 years	22 ans	22 Jahre	Y	
Y23	23 years	23 ans	23 Jahre	Y	
Y24	24 years	24 ans	24 Jahre	Y	
Y_LT25	Less than 25 years	Moins de 25 ans	Weniger als 25 Jahre	Y	
Y25	25 years	25 ans	25 Jahre	Y	
Y25-29	From 25 to 29 years	De 25 à 29 ans	25 bis 29 Jahre	Y	
Y25-34	From 25 to 34 years	De 25 à 34 ans	25 bis 34 Jahre	Y	
Y25-39	From 25 to 39 years	De 25 à 39 ans	25 bis 39 Jahre	Y	
Y25-44	From 25 to 44 years	De 25 à 44 ans	25 bis 44 Jahre	Y	
Y25-49	From 25 to 49 years	De 25 à 49 ans	25 bis 49 Jahre	Y	
Y25-54	From 25 to 54 years	De 25 à 54 ans	25 bis 54 Jahre	Y	
Y25-59	From 25 to 59 years	De 25 à 59 ans	25 bis 59 Jahre	Y	
Y25-64	From 25 to 64 years	De 25 à 64 ans	25 bis 64 Jahre	Y	
Y25-69	From 25 to 69 years	De 25 à 69 ans	25 bis 69 Jahre	Y	
Y25-74	From 25 to 74 years	De 25 à 74 ans	25 bis 74 Jahre	Y	
Y25-89	From 25 to 89 years	De 25 à 89 ans	25 bis 89 Jahre	Y	
Y_GE25	25 years or over	25 ans ou plus	25 Jahre und mehr	Y	
Y26	26 years	26 ans	26 Jahre	Y	
Y27	27 years	27 ans	27 Jahre	Y	
Y28	28 years	28 ans	28 Jahre	Y	
Y29	29 years	29 ans	29 Jahre	Y	
Y_LT30	Less than 30 years	Moins de 30 ans	Weniger als 30 Jahre	Y	
Y30	30 years	30 ans	30 Jahre	Y	
Y30-34	From 30 to 34 years	De 30 à 34 ans	30 bis 34 Jahre	Y	
Y30-39	From 30 to 39 years	De 30 à 39 ans	30 bis 39 Jahre	Y	
Y30-44	From 30 to 44 years	De 30 à 44 ans	30 bis 44 Jahre	Y	
Y30-49	From 30 to 49 years	De 30 à 49 ans	30 bis 49 Jahre	Y	
Y30-54	From 30 to 54 years	De 30 à 54 ans	30 bis 54 Jahre	Y	
Y30-64	From 30 to 64 years	De 30 à 64 ans	30 bis 64 Jahre	Y	
Y_GE30	30 years or over	30 ans ou plus	30 Jahre und mehr	Y	
Y31	31 years	31 ans	31 Jahre	Y	
Y32	32 years	32 ans	32 Jahre	Y	
Y33	33 years	33 ans	33 Jahre	Y	
Y34	34 years	34 ans	34 Jahre	Y	
Y_LT35	Less than 35 years	Moins de 35 ans	Weniger als 35 Jahre	Y	
Y35	35 years	35 ans	35 Jahre	Y	
Y35-39	From 35 to 39 years	De 35 à 39 ans	35 bis 39 Jahre	Y	
Y35-44	From 35 to 44 years	De 35 à 44 ans	35 bis 44 Jahre	Y	
Y35-49	From 35 to 49 years	De 35 à 49 ans	35 bis 49 Jahre	Y	
Y35-54	From 35 to 54 years	De 35 à 54 ans	35 bis 54 Jahre	Y	
Y35-64	From 35 to 64 years	De 35 à 64 ans	35 bis 64 Jahre	Y	
Y35-74	From 35 to 74 years	De 35 à 74 ans	35 bis 74 Jahre	Y	
Y_GE35	35 years or over	35 ans ou plus	35 Jahre und mehr	Y	
Y_LT36	Less than 36 years	Moins de 36 ans	Weniger als 36 Jahre	Y	
Y36	36 years	36 ans	36 Jahre	Y	
Y36-55	From 36 to 55 years	De 36 à 55 ans	36 bis 55 Jahre	Y	
Y37	37 years	37 ans	37 Jahre	Y	
Y38	38 years	38 ans	38 Jahre	Y	
Y39	39 years	39 ans	39 Jahre	Y	
Y_LT40	Less than 40 years	Moins de 40 ans	Weniger als 40 Jahre	Y	
Y40	40 years	40 ans	40 Jahre	Y	
Y40-44	From 40 to 44 years	De 40 à 44 ans	40 bis 44 Jahre	Y	
Y40-49	From 40 to 49 years	De 40 à 49 ans	40 bis 49 Jahre	Y	
Y40-54	From 40 to 54 years	De 40 à 54 ans	40 bis 54 Jahre	Y	
Y40-59	From 40 to 59 years	De 40 à 59 ans	40 bis 59 Jahre	Y	
Y40-64	From 40 to 64 years	De 40 à 64 ans	40 bis 64 Jahre	Y	
Y_GE40	40 years or over	40 ans ou plus	40 Jahre und mehr	Y	
Y41	41 years	41 ans	41 Jahre	Y	
Y42	42 years	42 ans	42 Jahre	Y	
Y43	43 years	43 ans	43 Jahre	Y	
Y44	44 years	44 ans	44 Jahre	Y	
Y_LT45	Less than 45 years	Moins de 45 ans	Weniger als 45 Jahre	Y	
Y45	45 years	45 ans	45 Jahre	Y	
Y45-49	From 45 to 49 years	De 45 à 49 ans	45 bis 49 Jahre	Y	
Y45-54	From 45 to 54 years	De 45 à 54 ans	45 bis 54 Jahre	Y	
Y45-59	From 45 to 59 years	De 45 à 59 ans	45 bis 59 Jahre	Y	
Y45-64	From 45 to 64 years	De 45 à 64 ans	45 bis 64 Jahre	Y	
Y45-74	From 45 to 74 years	De 45 à 74 ans	45 bis 74 Jahre	Y	
Y_GE45	45 years or over	45 ans ou plus	45 Jahre und mehr	Y	
Y46	46 years	46 ans	46 Jahre	Y	
Y47	47 years	47 ans	47 Jahre	Y	
Y48	48 years	48 ans	48 Jahre	Y	
Y_GE48	48 years or over	48 ans ou plus	48 Jahre und mehr	Y	
Y49	49 years	49 ans	49 Jahre	Y	
Y_GE49	49 years or over	49 ans ou plus	49 Jahre und mehr	Y	
Y50	50 years	50 ans	50 Jahre	Y	
Y50-54	From 50 to 54 years	De 50 à 54 ans	50 bis 54 Jahre	Y	
Y50-59	From 50 to 59 years	De 50 à 59 ans	50 bis 59 Jahre	Y	
Y50-64	From 50 to 64 years	De 50 à 64 ans	50 bis 64 Jahre	Y	
Y50-69	From 50 to 69 years	De 50 à 69 ans	50 bis 69 Jahre	Y	
Y50-74	From 50 to 74 years	De 50 à 74 ans	50 bis 74 Jahre	Y	
Y50-89	From 50 to 89 years	De 50 à 89 ans	50 bis 89 Jahre	Y	
Y_GE50	50 years or over	50 ans ou plus	50 Jahre und mehr	Y	
Y51	51 years	51 ans	51 Jahre	Y	
Y_GE51	51 years or over	51 ans ou plus	51 Jahre und mehr	Y	
Y52	52 years	52 ans	52 Jahre	Y	
Y53	53 years	53 ans	53 Jahre	Y	
Y54	54 years	54 ans	54 Jahre	Y	
Y55	55 years	55 ans	55 Jahre	Y	
Y55-59	From 55 to 59 years	De 55 à 59 ans	55 bis 59 Jahre	Y	
Y55-64	From 55 to 64 years	De 55 à 64 ans	55 bis 64 Jahre	Y	
Y55-69	From 55 to 69 years	De 55 à 69 ans	55 bis 69 Jahre	Y	
Y55-74	From 55 to 74 years	De 55 à 74 ans	55 bis 74 Jahre	Y	
Y55-89	From 55 to 89 years	De 55 à 89 ans	55 bis 89 Jahre	Y	
Y_GE55	55 years or over	55 ans ou plus	55 Jahre und mehr	Y	
Y56	56 years	56 ans	56 Jahre	Y	
Y_GE56	56 years or over	56 ans ou plus	56 Jahre und mehr	Y	
Y57	57 years	57 ans	57 Jahre	Y	
Y58	58 years	58 ans	58 Jahre	Y	
Y59	59 years	59 ans	59 Jahre	Y	
Y_LT60	Less than 60 years	Moins de 60 ans	Weniger als 60 Jahre	Y	
Y60	60 years	60 ans	60 Jahre	Y	
Y60-64	From 60 to 64 years	De 60 à 64 ans	60 bis 64 Jahre	Y	
Y60-69	From 60 to 69 years	De 60 à 69 ans	60 bis 69 Jahre	Y	
Y60-74	From 60 to 74 years	De 60 à 74 ans	60 bis 74 Jahre	Y	
Y60-79	From 60 to 79 years	De 60 à 79 ans	60 bis 79 Jahre	Y	
Y_GE60	60 years or over	60 ans ou plus	60 Jahre und mehr	Y	
Y61	61 years	61 ans	61 Jahre	Y	
Y62	62 years	62 ans	62 Jahre	Y	
Y63	63 years	63 ans	63 Jahre	Y	
Y64	64 years	64 ans	64 Jahre	Y	
Y_LT65	Less than 65 years	Moins de 65 ans	Weniger als 65 Jahre	Y	
Y65	65 years	65 ans	65 Jahre	Y	
Y65-69	From 65 to 69 years	De 65 à 69 ans	65 bis 69 Jahre	Y	
Y65-74	From 65 to 74 years	De 65 à 74 ans	65 bis 74 Jahre	Y	
Y65-79	From 65 to 79 years	De 65 à 79 ans	65 bis 79 Jahre	Y	
Y65-84	From 65 to 84 years	De 65 à 84 ans	65 bis 84 Jahre	Y	
Y65-89	From 65 to 89 years	De 65 à 89 ans	65 bis 89 Jahre	Y	
Y_GE65	65 years or over	65 ans ou plus	65 Jahre und mehr	Y	
Y66	66 years	66 ans	66 Jahre	Y	
Y67	67 years	67 ans	67 Jahre	Y	
Y68	68 years	68 ans	68 Jahre	Y	
Y69	69 years	69 ans	69 Jahre	Y	
Y70	70 years	70 ans	70 Jahre	Y	
Y70-74	From 70 to 74 years	De 70 à 74 ans	70 bis 74 Jahre	Y	
Y70-79	From 70 to 79 years	De 70 à 79 ans	70 bis 79 Jahre	Y	
Y_GE70	70 years or over	70 ans ou plus	70 Jahre und mehr	Y	
Y71	71 years	71 ans	71 Jahre	Y	
Y72	72 years	72 ans	72 Jahre	Y	
Y73	73 years	73 ans	73 Jahre	Y	
Y74	74 years	74 ans	74 Jahre	Y	
Y_LT75	Less than 75 years	Moins de 75 ans	Weniger als 75 Jahre	Y	
Y75	75 years	75 ans	75 Jahre	Y	
Y75-79	From 75 to 79 years	De 75 à 79 ans	75 bis 79 Jahre	Y	
Y75-84	From 75 to 84 years	De 75 à 84 ans	75 bis 84 Jahre	Y	
Y75-89	From 75 to 89 years	De 75 à 89 ans	75 bis 89 Jahre	Y	
Y_GE75	75 years or over	75 ans ou plus	75 Jahre und mehr	Y	
Y76	76 years	76 ans	76 Jahre	Y	
Y77	77 years	77 ans	77 Jahre	Y	
Y78	78 years	78 ans	78 Jahre	Y	
Y79	79 years	79 ans	79 Jahre	Y	
Y80	80 years	80 ans	80 Jahre	Y	
Y80-84	From 80 to 84 years	De 80 à 84 ans	80 bis 84 Jahre	Y	
Y80-89	From 80 to 89 years	De 80 à 89 ans	80 bis 89 Jahre	Y	
Y_GE80	80 years or over	80 ans ou plus	80 Jahre und mehr	Y	
Y81	81 years	81 ans	81 Jahre	Y	
Y82	82 years	82 ans	82 Jahre	Y	
Y83	83 years	83 ans	83 Jahre	Y	
Y84	84 years	84 ans	84 Jahre	Y	
Y85	85 years	85 ans	85 Jahre	Y	
Y85-89	From 85 to 89 years	De 85 à 89 ans	85 bis 89 Jahre	Y	
Y_GE85	85 years or over	85 ans ou plus	85 Jahre und mehr	Y	
Y86	86 years	86 ans	86 Jahre	Y	
Y87	87 years	87 ans	87 Jahre	Y	
Y88	88 years	88 ans	88 Jahre	Y	
Y89	89 years	89 ans	89 Jahre	Y	
Y90	90 years	90 ans	90 Jahre	Y	
Y90-94	From 90 to 94 years	De 90 à 94 ans	90 bis 94 Jahre	Y	
Y_GE90	90 years or over	90 ans ou plus	90 Jahre und mehr	Y	
Y91	91 years	91 ans	91 Jahre	Y	
Y_GE91	91 years or over	91 ans ou plus	91 Jahre und mehr	Y	
Y92	92 years	92 ans	92 Jahre	Y	
Y93	93 years	93 ans	93 Jahre	Y	
Y94	94 years	94 ans	94 Jahre	Y	
Y95	95 years	95 ans	95 Jahre	Y	
Y95-99	From 95 to 99 years	De 95 à 99 ans	95 bis 99 Jahre	Y	
Y_GE95	95 years or over	95 ans ou plus	95 Jahre und mehr	Y	
Y96	96 years	96 ans	96 Jahre	Y	
Y97	97 years	97 ans	97 Jahre	Y	
Y98	98 years	98 ans	98 Jahre	Y	
Y99	99 years	99 ans	99 Jahre	Y	
Y_GE99	99 years or over	99 ans ou plus	99 Jahre und mehr	Y	
Y100	100 years	100 ans	100 Jahre	Y	
Y_GE100	100 years or over	100 ans ou plus	100 Jahre und mehr	Y	
Y101	101 years	101 ans	101 Jahre	Y	
Y_GE101	101 years or over	101 ans ou plus	101 Jahre und mehr	Y	
Y102	102 years	102 ans	102 Jahre	Y	
Y103	103 years	103 ans	103 Jahre	Y	
Y104	104 years	104 ans	104 Jahre	Y	
Y105	105 years	105 ans	105 Jahre	Y	
Y106	106 years	106 ans	106 Jahre	Y	
Y107	107 years	107 ans	107 Jahre	Y	
Y108	108 years	108 ans	108 Jahre	Y	
Y109	109 years	109 ans	109 Jahre	Y	
Y110	110 years	110 ans	110 Jahre	Y	
Y_GE110	110 years or over	110 ans ou plus	110 Jahre und mehr	Y	
Y_OPEN	Open-ended age class	Classe d'âge ouverte	Offene Altersklasse	Y	
JUVENILE	Juvenile	Mineur	Minderjährige	M	
ADULT	Adult	Adulte	Erwachsene	M	
ONGO	Ongoing	En cours	Dauert noch an	M	
FAT	Fatal	Mortel	Tödlich	M	
NAP	Not applicable	Non applicable	Nicht anwendbar	Y	
NEV	Never	Jamais	Niemals	Y	
AVG	Average	Moyenne	Durchschnitt	Y	
NRP	No response	Sans réponse	Ohne Antwort	Y	
NSP	Not specified	Non spécifié	Nicht spezifiziert	Y	
OTH	Other	Autres	Sonstige	Y	
UNK	Unknown	Inconnu	Unbekannt	Y	
